Quarter,Time,Down,ToGo,Location,Detail,PIT,NWE,EPB,EPA
2,10:10,4,1,PIT 30,"Jordan Berry punts 50 yards, returned by Gunner Olszewski for 15 yards (tackle by Jordan Dangerfield)",0,10,-1.37,-1.27
2,10:00,1,10,NWE 35,Sony Michel up the middle for 3 yards (tackle by Bud Dupree and Cameron Heyward),0,10,1.27,1.13
2,09:26,2,7,NWE 38,Tom Brady pass incomplete short left intended for Ryan Izzo,0,10,1.13,0.43
2,09:22,3,7,NWE 38,Tom Brady pass incomplete short right intended for James White,0,10,0.43,-0.85
2,09:19,4,7,NWE 38,"Jake Bailey punts 32 yards, fair catch by Ryan Switzer at PIT-30",0,10,-0.85,-0.94
2,09:12,1,10,PIT 30,"Ben Roethlisberger pass incomplete short left intended for James Conner. Penalty on Ja'Whaun Bentley: Defensive Holding, 5 yards (no play)",0,10,0.94,1.27
2,09:07,1,10,PIT 35,James Conner left end for 5 yards (tackle by Ja'Whaun Bentley),0,10,1.27,1.4
2,08:27,2,5,PIT 40,James Conner up the middle for 4 yards (tackle by Devin McCourty),0,10,1.4,1.22
2,07:46,3,1,PIT 44,James Conner left end for -4 yards (tackle by Jamie Collins and John Simon),0,10,1.22,-0.72
2,07:04,4,5,PIT 40,"Jordan Berry punts 40 yards, fair catch by Gunner Olszewski at NE-20",0,10,-0.72,-0.28
2,06:58,1,10,NWE 20,Rex Burkhead left guard for 4 yards (tackle by Kameron Kelly and Steven Nelson),0,10,0.28,0.27
2,06:31,2,6,NWE 24,Rex Burkhead up the middle for 3 yards (tackle by Kameron Kelly),0,10,0.27,-0.03
2,05:53,3,3,NWE 27,Tom Brady pass complete short left to James White for 8 yards (tackle by Mark Barron and Kameron Kelly),0,10,-0.03,1.27
2,05:17,1,10,NWE 35,Tom Brady pass complete short middle to Julian Edelman for 16 yards (tackle by Kameron Kelly),0,10,1.27,2.32
2,04:35,1,10,PIT 49,Tom Brady pass complete short left to Julian Edelman for 24 yards (tackle by Kameron Kelly),0,10,2.32,3.91
2,03:54,1,10,PIT 25,"Tom Brady pass complete deep right to Phillip Dorsett for 25 yards, touchdown",0,16,3.91,7
2,03:49,,,PIT 15,Stephen Gostkowski kicks extra point good,0,17,0,0
2,03:49,,,NWE 35,"Stephen Gostkowski kicks off 65 yards, touchback.",0,17,0,0.61
2,03:49,1,10,PIT 25,Ben Roethlisberger pass incomplete deep left intended for Donte Moncrief (defended by Jason McCourty),0,17,0.61,0.06
2,03:42,2,10,PIT 25,Ben Roethlisberger pass incomplete deep right intended for Donte Moncrief,0,17,0.06,-0.62
2,03:37,3,10,PIT 25,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 19 yards (tackle by Stephon Gilmore),0,17,-0.62,1.86
2,02:58,1,10,PIT 44,Ben Roethlisberger pass complete short left to Ryan Switzer for 1 yard (tackle by Patrick Chung and Ja'Whaun Bentley),0,17,1.86,1.45
2,02:20,2,9,PIT 45,Ben Roethlisberger pass incomplete deep right intended for James Washington,0,17,1.45,0.76
2,02:15,3,9,PIT 45,Ben Roethlisberger pass complete short right to Diontae Johnson for 8 yards (tackle by Jason McCourty),0,17,0.76,0.13
2,02:00,,,,Timeout #1 by Pittsburgh Steelers,,,,
2,02:00,4,1,NWE 47,Ben Roethlisberger pass incomplete short left intended for Donte Moncrief (defended by Patrick Chung),0,17,0.13,-2.06
2,01:57,1,10,NWE 47,Tom Brady pass complete short left to Rex Burkhead for 11 yards (tackle by Mark Barron),0,17,2.06,2.79
